Time	Temperature 1	Temperature 2	Temperature 3	Temperature 4
t	Temp 1	Temp 2	Temp 3	Temp 4
min 	°C 	°C 	°C 	°C 
51	63,0603484056	49,7436165209	32,5219267523	23,4762454805
51,5	63,176830178	49,9487622861	32,5455736591	23,9410311631
52	63,2546652861	49,8900717166	32,616534346	23,4994760481
52,5	63,3326456836	49,8607497405	32,6640522079	23,2436830681
53	63,4110925654	49,9783717315	32,7587407423	23,2901673853
53,5	63,4893662592	50,1549135274	32,7587407423	23,3833114091
54	63,5677873697	50,2433973761	32,8297930974	23,4065467209
54,5	63,6463566143	50,2138869034	32,8771786364	23,5227054594
55	63,7250747152	50,4210379052	32,8771786364	23,4297808288
55,5	63,8042659365	50,3914314439	32,9484774581	23,3366466476
56	63,8437564093	50,569555543	32,9958981236	23,3134076423
56,5	63,9228504616	50,5992591301	33,0196137744	23,3833114091
57	64,0020959392	50,6884676815	33,0670557728	23,2669258645
57,5	64,0417756948	50,6884676815	33,0907821447	23,2901673853
58	64,1212497072	50,6289789942	33,1384402474	23,4530137447
58,5	64,2012036726	50,9572261403	33,1621774798	23,3366466476
59	64,2809856649	50,9572261403	33,2096628608	23,4994760481
59,5	64,360922474	50,9871439806	33,2571628784	23,4994760481
60	64,4009491744	51,0170785196	33,2809184064	23,9410311631
60,5	64,4811196486	51,1972845371	33,3284405621	23,4762454805
61	64,5614468669	51,2574064911	33,3522072143	23,4065467209
61,5	64,6019993553	51,1672489733	33,4237245314	23,3833114091
62	64,682563803	51,2273370319	33,4237245314	23,3366466476
62,5	64,7229054928	51,4381813814	33,4712916871	23,4762454805
63	64,7632869583	51,4686180575	33,542670907	23,5459337264
63,5	64,8037082991	51,4686180575	33,5664716259	23,5459337264
64	64,8441696148	51,4686180575	33,614279773	23,7551289027
64,5	64,9252125713	51,4686180575	33,6380920908	23,4994760481
65	64,9657944132	51,5290483846	33,6857283802	23,3833114091
65,5	65,0067497684	51,7717135287	33,7095523766	23,5691608609
66	65,0881164092	51,6501169531	33,7572121347	23,7086908787
66,5	65,1696457834	51,7411013888	33,7810479212	23,6854702985
67	65,1696457834	51,8020944415	33,8048876626	23,4297808288
67,5	65,2513387123	51,8933430096	33,8527745488	24,0338644119
68	65,2922467679	51,9847510598	33,9004819799	24,0572606946
68,5	65,3741865811	51,9237945925	33,9482054795	23,5459337264
69	65,4155550466	52,0457788317	33,9720732862	23,7086908787
69,5	65,4566288668	51,9237945925	33,9959451475	23,6390259428
70	65,5389014711	52,0457788317	34,0437010836	23,4994760481
70,5	65,580100467	52,2295439696	34,0916692099	24,0572606946
71	65,6213414005	52,2295439696	34,1155615653	23,7783463702
71,5	65,6626243784	52,3522489946	34,1872634602	23,5691608609
72	65,7039495081	52,2908601122	34,2111724099	23,6158021434
72,5	65,7867266534	52,2908601122	34,2590028619	23,7783463702
73	65,8285188335	52,4754984884	34,2829243893	23,6854702985
73,5	65,8700139993	52,2601929665	34,3309762751	23,4994760481
74	65,8700139993	52,506293845	34,3549105286	23,7551289027
74,5	65,9115518594	52,5371076429	34,4027918155	23,4994760481
75	65,9947561014	52,7535774092	34,4267388742	23,8017531186
75,5	65,9947561014	52,6296600533	34,4986058633	23,5925772473
76	66,0364227034	52,5679399189	34,4986058633	23,5925772473
76,5	66,0781324401	52,6917079547	34,546538827	23,7319104094
77	66,1198854227	52,6296600533	34,5707083565	23,5925772473
77,5	66,1616817626	52,6296600533	34,5946857735	23,7086908787
78	66,245748449	52,8155218207	34,6186675734	23,5925772473
78,5	66,245748449	52,7535774092	34,6426537687	23,6158021434
79	66,2876758922	52,9085796417	34,6906393968	23,6390259428
79,5	66,3716623163	52,8465222294	34,6906393968	23,6158021434
80	66,3716623163	53,0643103523	34,7146388551	23,6622486572
80,5	66,4558248826	52,8775414904	34,7626511242	23,8713964903
81	66,4979725051	53,1578252156	34,7866639607	23,7551289027
81,5	66,4979725051	53,002062773	34,8108781639	23,7319104094
82	66,5401645071	52,9707127668	34,8589263869	23,7319104094
82,5	66,6246821123	53,1266344105	34,8829572773	23,6390259428
83	66,6246821123	53,2515131994	34,9069927043	23,7319104094
83,5	66,7097261136	53,2515131994	34,9310326805	23,8713964903
84	66,7521421236	53,3143250857	34,9791263325	23,8946089987
84,5	66,7946032135	53,2515131994	35,0272383364	23,5691608609
85	66,8371095014	53,3456320473	35,0514985088	24,0106574553
85,5	66,8796611058	53,40830442	35,0755660898	23,7319104094
86	66,9222581456	53,40830442	35,0996383106	23,7319104094
86,5	66,9649007402	53,5024596947	35,1237151841	23,9874496028
87	67,0075890093	53,5653281507	35,1959738511	23,8481830153
87,5	67,0075890093	53,5338840689	35,1959738511	23,8713964903
88	67,0503230732	53,5024596947	35,1959738511	23,8481830153
88,5	67,0934538981	53,6285337415	35,2441697977	23,7783463702
89	67,1791528445	53,5653281507	35,2682748605	23,9410311631
89,5	67,1791528445	53,7862508655	35,2682748605	23,8017531186
90	67,2650369155	53,7546675425	35,2925823081	23,7086908787
90,5	67,3080486792	53,9127848672	35,3408162831	23,7551289027
91	67,3080486792	53,7546675425	35,3649404386	23,7319104094
91,5	67,3511070926	53,8178542187	35,3649404386	23,6390259428
92	67,3942122796	53,8178542187	35,3890693902	23,8481830153
92,5	67,4373643643	53,8178542187	35,4373417342	24,3126625639
93	67,4373643643	53,7862508655	35,413203151	23,6854702985
93,5	67,4373643643	53,8494776428	35,4614851527	23,9410311631
94	67,4805634716	53,9447285369	35,4856334199	23,5925772473
94,5	67,5241643992	54,0081573793	35,5097865487	23,7783463702
